GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library-Management-System,Enum,UserRole,0,21,0,0,0,4,0,1,0,1
Library-Management-System,Enum,MediaItemType,0,27,0,0,0,5,0,1,0,1
Library-Management-System,Entity,MediaItem,0,13,0,0,0,7,0,3,0,3
Library-Management-System,Entity,Book,12,0,0,0,5,0,2,0,2,0
Library-Management-System,Entity,FineHistory,0,14,0,0,0,5,0,1,0,1
Library-Management-System,Entity,Cd,6,0,0,0,3,0,2,0,2,0
Library-Management-System,Entity,User,66,25,14,0,19,8,11,1,4,1
Library-Management-System,Util.HashingPassword,BCryptHashingPassword,0,12,0,0,0,3,0,3,0,3
Library-Management-System,Service.MediaItem,OverDueCountService,0,21,0,0,0,6,0,3,0,3
Library-Management-System,Service.MediaItem,MediaItemSearchService,2,75,1,9,1,16,1,7,0,2
Library-Management-System,Service.MediaItem,MediaItemService,25,21,3,3,5,7,5,3,3,2
Library-Management-System,Service.AdminBroadcastNotifierService,AdminBroadcastNotifier,0,67,0,16,0,20,0,10,0,2
Library-Management-System,Validation.OverdueBorrowValidator,StandardOverdueBorrowValidator,0,25,0,2,0,7,0,3,0,2
Library-Management-System,Util,SpringFXMLLoader,26,3,2,0,6,1,2,1,1,1
Library-Management-System,Util,FineResolver,8,23,2,5,1,5,2,3,0,1
Library-Management-System,Util,ApplicationContextProvider,4,7,0,0,1,4,1,2,1,2
Library-Management-System,Util.MessageFormater,GeneralOverdueBorrowMessageFormater,53,168,15,25,12,35,12,13,1,4
Library-Management-System,Util.MessageFormater,AdminBroadcastMessageFormater,2,66,2,10,1,11,2,7,0,3
Library-Management-System,Util.MessageFormater,PaymentConfirmationMessageFormater,0,68,0,4,0,15,0,5,0,3
Library-Management-System,Service.OverdueBorrowNotifier,OverdueBorrowNotifier,0,35,0,4,0,11,0,4,0,2
Library-Management-System,Util.CurrentLocalTimeDateResolver,CurrentLocalDateTimeResolver,0,5,0,0,0,2,0,2,0,2
Library-Management-System,Util.FxmlNavigator,FxmlNavigator,0,75,0,0,0,27,0,4,0,4
Library-Management-System,Service.Payment,PaymentConfirmationData,0,33,0,0,0,1,0,1,0,1
Library-Management-System,Service.OverdueBorrowDetection,OverdueBorrowedItemsData,0,9,0,0,0,1,0,1,0,1
Library-Management-System,Service.OverdueBorrowDetection,OverdueItemDetector,51,0,0,0,15,0,4,0,4,0
Library-Management-System,Service.OverdueBorrowDetection,OverdueBorrowedItem,0,12,0,0,0,1,0,1,0,1
Library-Management-System,Util.DateCalculator,DateCalculator,3,11,0,0,1,2,1,2,1,2
Library-Management-System,Service.Fine,FineService,5,155,2,25,1,38,2,18,0,6
Library-Management-System,Service.Fine,BookFineStrategy,0,17,0,2,0,5,0,4,0,3
Library-Management-System,Service.Fine,CDFineStrategy,0,17,0,2,0,5,0,4,0,3
Library-Management-System,Service.Fine,FineThreadService,26,0,0,0,8,0,2,0,2,0
Library-Management-System,Service.Fine,CalculateFineService,0,88,0,8,0,24,0,6,0,2
Library-Management-System,Util.FxmlMapper,RoleToFxmlMapper,0,26,0,0,0,5,0,2,0,2
Library-Management-System,Validation,LoginCredentialsValidator,0,26,0,4,0,8,0,4,0,2
Library-Management-System,Validation,BorrowValidator,5,40,1,9,1,10,1,6,0,2
Library-Management-System,Validation,AmountValidator,12,103,0,18,4,23,0,14,0,5
Library-Management-System,Service.BookService,BooksService,0,10,0,0,0,4,0,2,0,2
Library-Management-System,Service.BookService,BookSearchService,0,33,0,6,0,6,0,5,0,2
Library-Management-System,DTO.UserDTO,UserCredentialsDTO,0,9,0,0,0,4,0,1,0,1
Library-Management-System,DTO.UserDTO,UserContactDTO,15,3,0,0,5,2,1,1,1,1
Library-Management-System,Service,LoginService,0,41,0,4,0,13,0,4,0,2
Library-Management-System,Service,ReturnItemService,0,53,0,6,0,13,0,5,0,2
Library-Management-System,Service,LogoutService,0,10,0,0,0,5,0,2,0,2
Library-Management-System,Service,BorrowDueDurationCalculator,8,22,1,5,1,6,2,3,1,1
Library-Management-System,Service,BorrowService,0,64,0,4,0,16,0,4,0,2
Library-Management-System,Exception,OverdueItemsException,6,3,0,0,2,2,1,1,1,1
Library-Management-System,Exception,ItemNotBorrowedByUserException,12,4,0,0,6,2,3,1,3,1
Library-Management-System,Exception,NotImplementedException,12,4,0,0,6,2,3,1,3,1
Library-Management-System,Service.Email,EmailOverdueBorrowNotificationSender,0,40,0,6,0,11,0,5,0,2
Library-Management-System,Service.Email,EmailPaymentConfirmationSender,0,34,0,6,0,10,0,5,0,2
Library-Management-System,Service.Email,EmailAdminBroadcastNotificationSender,0,40,1,5,0,11,1,4,0,2
Library-Management-System,Service.Email,EmailService,0,85,0,0,0,24,0,3,0,3
Library-Management-System,Service.Email,EmailService.new Authenticator() {...},10,6,0,0,1,1,1,1,1,1
Library-Management-System,Service.CDService.SearchStrategy,CdSearchByTitleStrategy,0,7,0,0,0,2,0,2,0,2
Library-Management-System,Service.BookService.SearchStrategy,BookSearchByAuthorStrategy,0,7,0,0,0,2,0,2,0,2
Library-Management-System,Service.BookService.SearchStrategy,BookSearchByTitleStrategy,0,7,0,0,0,2,0,2,0,2
Library-Management-System,Service.BookService.SearchStrategy,BookSearchByIsbnStrategy,0,7,0,0,0,2,0,2,0,2
Library-Management-System,Service.CDService,CdSearchService,0,33,0,6,0,6,0,5,0,2
Library-Management-System,Service.CDService,AllCdService,0,10,0,0,0,4,0,2,0,2
Library-Management-System,Service.CDService,CdCountService,0,10,0,0,0,4,0,2,0,2
Library-Management-System,Service.BroadcastMessage,AdminBroadcastMessageData,0,9,0,0,0,1,0,1,0,1
Library-Management-System,Service.UserService,UserBorrowedItemsService,0,98,0,22,0,19,0,18,0,7
Library-Management-System,Service.UserService,AddUserService,0,30,0,0,0,9,0,2,0,2
Library-Management-System,Service.UserService,GetAllUsersService,0,10,0,0,0,4,0,2,0,2
Library-Management-System,Service.UserService,GetUserBalanceService,0,25,0,2,0,5,0,4,0,3
Library-Management-System,Service.UserService,UserCountService,11,0,0,0,4,0,2,0,2,0
Library-Management-System,Service.UserService,UnregisterUserService,0,54,0,8,0,11,0,7,0,3
Library-Management-System,Session,LocalSessionManager,0,28,0,4,0,8,0,7,0,5
